edge_id,model,hard_detected,soft_detected,direction_correct,detection_rate,mean_jsd,median_jsd,jsd_ci_lower,jsd_ci_upper,omnibus_significant
S20R,deepseek-r1,False,True,False,0.3333333333333333,0.2546095963389821,0.24473516130480918,0.24473516130480918,0.274358466407328,True
S74R,deepseek-r1,False,True,True,0.0,0.14669567621969945,0.14669567621969945,0.0,0.0,True
S21,deepseek-r1,False,False,False,0.0,0.064949529732545,0.06715247015308873,0.06054364889145755,0.06715247015308873,False
S5R,kimi-k2.5,False,True,True,0.1,0.19191007111221614,0.09777378561448921,0.09778610876331247,0.3051497850835824,True
S22,kimi-k2.5,False,True,False,0.16666666666666666,0.2771649652952663,0.11466798650544947,0.054009149911597,0.5003207806789356,True
S23R,kimi-k2.5,False,True,True,0.17391304347826086,0.2463026669669599,0.13870987033152177,0.15699692955966038,0.3526429405501692,True
S4R,kimi-k2.5,False,True,True,0.2,0.2950848046666664,0.19781112457171202,0.1797690659815529,0.4311715608799135,True
S28,kimi-k2.5,False,True,True,0.13636363636363635,0.21347635854571534,0.12503404950920236,0.12511973329869985,0.31705914934538004,True
SA2,kimi-k2.5,False,False,False,0.125,0.14060803528426255,0.10316427352705976,0.07787325525220908,0.23908966370483772,False
S8,kimi-k2.5,False,False,True,0.06666666666666667,0.0910823318268751,0.07150394707996588,0.04890848033633348,0.14980223230700535,False
S6R,kimi-k2.5,False,False,False,0.03225806451612903,0.11094656356117547,0.04859279214962665,0.05044245644551233,0.18501659915518653,False
S80,kimi-k2.5,False,False,False,0.021739130434782608,0.09847843416130278,0.04924430186717389,0.057233588590276,0.15165942153412443,False
S7R,kimi-k2.5,False,False,True,0.11904761904761904,0.12488247116869808,0.08988349926574754,0.09239366823271437,0.1601369107359408,False
S14,kimi-k2.5,False,False,True,0.0,0.06191781574966345,0.03631488017983022,0.028307297104291466,0.10041427793063583,False
S27,kimi-k2.5,False,False,True,0.06666666666666667,0.08998016132983391,0.05029059608942446,0.04867513637806979,0.14239749898411808,False
S45,kimi-k2.5,False,True,False,0.25,0.27009537739714906,0.2233368766153345,0.09780127356986006,0.4719209736884307,True
S46,kimi-k2.5,False,True,True,0.14285714285714285,0.17463510663084997,0.0770075122126848,0.05501231740720095,0.31865812878131106,True
S40R,kimi-k2.5,False,True,False,0.25,0.27009537739714906,0.2233368766153345,0.09780127356986006,0.4719209736884307,True
S41R,kimi-k2.5,False,True,False,0.25,0.27009537739714906,0.2233368766153345,0.09780127356986006,0.4719209736884307,True
S49R,kimi-k2.5,False,True,False,0.25,0.27009537739714906,0.2233368766153345,0.09780127356986006,0.4719209736884307,True
S16R,kimi-k2.5,False,True,False,0.25,0.34149136116138623,0.3445730804432977,0.18085385726675868,0.5021288650560138,True
S39R,kimi-k2.5,False,True,True,0.1111111111111111,0.21670004501878115,0.18085385675955415,0.1035550094376592,0.3484291354296795,True
S42R,kimi-k2.5,False,True,True,0.2,0.2831028333765093,0.19781112558612107,0.13172325691872833,0.4412653171620353,True
S17R,kimi-k2.5,False,True,False,0.42857142857142855,0.39712346923899006,0.5009841226936631,0.18965546963606328,0.5833763584248857,True
S18R,kimi-k2.5,False,True,False,0.42857142857142855,0.39712346923899006,0.5009841226936631,0.18965546963606328,0.5833763584248857,True
S10R,kimi-k2.5,False,False,True,0.047619047619047616,0.14487308173320473,0.11337749607012029,0.08608518718787952,0.20782816394033887,False
S9R,kimi-k2.5,False,True,True,0.14285714285714285,0.19415814002663692,0.13230412364185112,0.10182490946407846,0.31036067241877147,True
S24R,kimi-k2.5,False,False,True,0.0,0.12492968191467213,0.0770075122126848,0.041424192288404396,0.20937721812974752,False
S12,kimi-k2.5,False,True,True,0.0,0.11807178035693193,0.0751371156880283,0.07512434251784444,0.1667213216818393,True
S43,kimi-k2.5,False,True,True,0.0,0.10641958266079136,0.06993214118202776,0.06331350709225232,0.15127183913194708,True
S112,kimi-k2.5,False,True,True,0.0,0.23298871896322848,0.23979246961138345,0.2066853064075629,0.25248838087073916,True
S19R,kimi-k2.5,False,False,True,0.0,0.07456309296292764,0.04859279214962665,0.044280699772497004,0.1068508771100241,False
S115,kimi-k2.5,False,False,True,0.0,0.08161909798964442,0.04859279214962665,0.0368765784309378,0.13274357050261618,False
S38R,kimi-k2.5,False,False,False,0.0,0.09659533708131983,0.09659533708131983,0.0,0.0,False
S15R,kimi-k2.5,False,False,True,0.0,0.03951354889616642,0.041498788777804024,0.03307603017199208,0.043965827738703146,False
S68R,kimi-k2.5,False,True,True,0.42424242424242425,0.31251472083883,0.19021050387121494,0.22268146355527324,0.4131893342991244,True
S52R,kimi-k2.5,False,True,True,0.4411764705882353,0.31139247809191817,0.19021050387121494,0.222275964132325,0.4016904521744697,True
S72R,kimi-k2.5,False,True,True,0.42424242424242425,0.31251472083883,0.19021050387121494,0.22268146355527324,0.4131893342991244,True
S69R,kimi-k2.5,False,True,False,0.4166666666666667,0.3146548106315909,0.14932716066944374,0.15442486843782896,0.4807200908219333,False
S77R,kimi-k2.5,False,True,True,0.5,0.2933198067216851,0.20257590298019493,0.10288679107002392,0.5525587176062883,False
S70,kimi-k2.5,True,True,False,1.0,0.693147177271912,0.693147177271912,0.0,0.0,False
S67,kimi-k2.5,False,True,True,0.16666666666666666,0.2003689753619746,0.13514479260495205,0.06928063425959484,0.40385955259496015,True
S73R,kimi-k2.5,False,True,True,0.16666666666666666,0.2003689753619746,0.13514479260495205,0.06928063425959484,0.40385955259496015,True
S55R,kimi-k2.5,False,True,True,0.5,0.31548647078718145,0.2725594871502529,0.0641441246694167,0.5668288169049462,False
S116,kimi-k2.5,False,True,True,0.5,0.31548647078718145,0.2725594871502529,0.0641441246694167,0.5668288169049462,False
S119R,kimi-k2.5,False,True,True,0.25,0.1791560606940537,0.0725927141912337,0.04176327907484175,0.36499167861897036,False
S31R,kimi-k2.5,False,True,True,0.5,0.31548647078718145,0.2725594871502529,0.0641441246694167,0.5668288169049462,False
S120R,kimi-k2.5,False,True,True,0.5,0.31548647078718145,0.2725594871502529,0.0641441246694167,0.5668288169049462,False
S30,kimi-k2.5,False,True,True,0.5,0.31548647078718145,0.2725594871502529,0.0641441246694167,0.5668288169049462,False
SA6,kimi-k2.5,True,True,False,0.6666666666666666,0.43141617083019823,0.4228104530972252,0.1782908810973799,0.6931471782959896,True
S121R,kimi-k2.5,True,True,True,0.5714285714285714,0.4548559428709748,0.5579788146709533,0.24000448066706878,0.6480910567566024,True
S129,kimi-k2.5,True,True,True,1.0,0.6931471772703355,0.6931471772703355,0.0,0.0,True
S88,kimi-k2.5,False,True,True,0.2,0.28854058059564647,0.29816577369580743,0.14498016759426782,0.43210099359702514,True
S84,kimi-k2.5,False,True,False,0.25,0.2619265102714846,0.2255318941470809,0.10668376606888291,0.4403540550888626,True
S111R,kimi-k2.5,False,True,False,0.25,0.2619265102714846,0.2255318941470809,0.10668376606888291,0.4403540550888626,True
S89,kimi-k2.5,False,True,True,0.0,0.3949968618922939,0.3949968618922939,0.0,0.0,True
S13,kimi-k2.5,False,True,False,0.0,0.11474548985668469,0.06717761976451306,0.043519722323343814,0.21265842287024653,True
S75R,kimi-k2.5,False,False,False,0.0,0.07470957956588338,0.0594734789581777,0.029778829488045177,0.12352071408073449,False
S20R,kimi-k2.5,False,True,True,0.0,0.11881626688060991,0.1386294340089772,0.02000824206114052,0.19781112457171202,True
S74R,kimi-k2.5,False,True,True,0.0,0.08676460268145869,0.08676460268145869,0.0,0.0,True
S21,kimi-k2.5,False,False,False,0.0,0.1064194026048278,0.09498625929556705,0.026460823947204323,0.19781112457171202,False
S5R,qwen3-next-80b-instruct,False,False,True,0.16666666666666666,0.11164028528659302,0.05028165317431531,0.05723417255689938,0.1798968703153957,False
S22,qwen3-next-80b-instruct,False,False,True,0.0,0.043208957528232006,0.04859279214962665,0.02990799674840973,0.051126083686659635,False
S23R,qwen3-next-80b-instruct,False,True,True,0.09523809523809523,0.14382246949446031,0.056527861038148317,0.07215674431704769,0.23056680218463632,True
S4R,qwen3-next-80b-instruct,False,True,True,0.14285714285714285,0.17622549837288873,0.056527861038148317,0.07959747681581017,0.2794505277774595,True
S28,qwen3-next-80b-instruct,False,True,True,0.09523809523809523,0.13255846145111788,0.04859279214962665,0.06486227772004181,0.21644465687495945,True
SA2,qwen3-next-80b-instruct,False,False,True,0.0,0.05471414007878206,0.05973585144303962,0.03413483745310182,0.07529344270446228,False
S8,qwen3-next-80b-instruct,False,False,True,0.0,0.04590469344465003,0.04080321116991907,0.028783435297113046,0.06380622905642312,False
