mode,model,model_label,soft_detection_rate,hard_detection_rate,hard_mean_jsd_threshold,soft_recall,hard_recall,soft_direction_accuracy,hard_direction_accuracy,soft_precision,soft_fdr,hard_precision,hard_fdr
hard_sweep,qwen3-next-80b-instruct,Qwen3-Next-80B-A3B-Instruct,,0.4,0.05,0.39655172413793105,0.1206896551724138,0.7391304347826086,0.5714285714285714,0.5348837209302325,0.46511627906976744,0.25925925925925924,0.7407407407407407
hard_sweep,mistral-small-24b,Mistral-Small-24B,,0.4,0.05,0.43103448275862066,0.034482758620689655,0.72,0.5,0.625,0.375,0.11764705882352941,0.8823529411764706
hard_sweep,gemma-4-31b-it,Gemma 4 31B,,0.4,0.05,0.41379310344827586,0.1896551724137931,0.7083333333333334,0.6363636363636364,0.6666666666666666,0.3333333333333333,0.4782608695652174,0.5217391304347826
hard_sweep,llama-3.1-8b,Llama 3.1-8B,,0.4,0.05,0.1724137931034483,0.017241379310344827,0.5,0.0,0.7142857142857143,0.2857142857142857,0.2,0.8
hard_sweep,deepseek-r1,DeepSeek-R1,,0.4,0.1,0.6206896551724138,0.1896551724137931,0.7777777777777778,0.7272727272727273,0.6,0.4,0.3142857142857143,0.6857142857142857
hard_sweep,kimi-k2.5,Kimi K2.5,,0.4,0.1,0.7413793103448276,0.27586206896551724,0.6744186046511628,0.6875,0.6615384615384615,0.3384615384615385,0.42105263157894735,0.5789473684210527
hard_sweep,qwen3-next-80b-instruct,Qwen3-Next-80B-A3B-Instruct,,0.4,0.1,0.39655172413793105,0.1206896551724138,0.7391304347826086,0.5714285714285714,0.5348837209302325,0.46511627906976744,0.25925925925925924,0.7407407407407407
hard_sweep,mistral-small-24b,Mistral-Small-24B,,0.4,0.1,0.43103448275862066,0.034482758620689655,0.72,0.5,0.625,0.375,0.11764705882352941,0.8823529411764706
hard_sweep,gemma-4-31b-it,Gemma 4 31B,,0.4,0.1,0.41379310344827586,0.1896551724137931,0.7083333333333334,0.6363636363636364,0.6666666666666666,0.3333333333333333,0.4782608695652174,0.5217391304347826
hard_sweep,llama-3.1-8b,Llama 3.1-8B,,0.4,0.1,0.1724137931034483,0.017241379310344827,0.5,0.0,0.7142857142857143,0.2857142857142857,0.2,0.8
hard_sweep,deepseek-r1,DeepSeek-R1,,0.4,0.15,0.6206896551724138,0.1896551724137931,0.7777777777777778,0.7272727272727273,0.6,0.4,0.3142857142857143,0.6857142857142857
hard_sweep,kimi-k2.5,Kimi K2.5,,0.4,0.15,0.7413793103448276,0.27586206896551724,0.6744186046511628,0.6875,0.6615384615384615,0.3384615384615385,0.42105263157894735,0.5789473684210527
hard_sweep,qwen3-next-80b-instruct,Qwen3-Next-80B-A3B-Instruct,,0.4,0.15,0.39655172413793105,0.10344827586206896,0.7391304347826086,0.6666666666666666,0.5348837209302325,0.46511627906976744,0.23076923076923078,0.7692307692307693
hard_sweep,mistral-small-24b,Mistral-Small-24B,,0.4,0.15,0.43103448275862066,0.034482758620689655,0.72,0.5,0.625,0.375,0.11764705882352941,0.8823529411764706
hard_sweep,gemma-4-31b-it,Gemma 4 31B,,0.4,0.15,0.41379310344827586,0.1896551724137931,0.7083333333333334,0.6363636363636364,0.6666666666666666,0.3333333333333333,0.4782608695652174,0.5217391304347826
hard_sweep,llama-3.1-8b,Llama 3.1-8B,,0.4,0.15,0.1724137931034483,0.017241379310344827,0.5,0.0,0.7142857142857143,0.2857142857142857,0.2,0.8
hard_sweep,deepseek-r1,DeepSeek-R1,,0.5,0.05,0.6206896551724138,0.15517241379310345,0.7777777777777778,0.6666666666666666,0.6,0.4,0.2727272727272727,0.7272727272727273
hard_sweep,kimi-k2.5,Kimi K2.5,,0.5,0.05,0.7413793103448276,0.1724137931034483,0.6744186046511628,0.8,0.6615384615384615,0.3384615384615385,0.3125,0.6875
hard_sweep,qwen3-next-80b-instruct,Qwen3-Next-80B-A3B-Instruct,,0.5,0.05,0.39655172413793105,0.05172413793103448,0.7391304347826086,0.0,0.5348837209302325,0.46511627906976744,0.13043478260869565,0.8695652173913043
hard_sweep,mistral-small-24b,Mistral-Small-24B,,0.5,0.05,0.43103448275862066,0.034482758620689655,0.72,0.5,0.625,0.375,0.11764705882352941,0.8823529411764706
hard_sweep,gemma-4-31b-it,Gemma 4 31B,,0.5,0.05,0.41379310344827586,0.15517241379310345,0.7083333333333334,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.42857142857142855,0.5714285714285714
hard_sweep,llama-3.1-8b,Llama 3.1-8B,,0.5,0.05,0.1724137931034483,0.017241379310344827,0.5,0.0,0.7142857142857143,0.2857142857142857,0.2,0.8
hard_sweep,deepseek-r1,DeepSeek-R1,,0.5,0.1,0.6206896551724138,0.15517241379310345,0.7777777777777778,0.6666666666666666,0.6,0.4,0.2727272727272727,0.7272727272727273
hard_sweep,kimi-k2.5,Kimi K2.5,,0.5,0.1,0.7413793103448276,0.1724137931034483,0.6744186046511628,0.8,0.6615384615384615,0.3384615384615385,0.3125,0.6875
hard_sweep,qwen3-next-80b-instruct,Qwen3-Next-80B-A3B-Instruct,,0.5,0.1,0.39655172413793105,0.05172413793103448,0.7391304347826086,0.0,0.5348837209302325,0.46511627906976744,0.13043478260869565,0.8695652173913043
hard_sweep,mistral-small-24b,Mistral-Small-24B,,0.5,0.1,0.43103448275862066,0.034482758620689655,0.72,0.5,0.625,0.375,0.11764705882352941,0.8823529411764706
hard_sweep,gemma-4-31b-it,Gemma 4 31B,,0.5,0.1,0.41379310344827586,0.15517241379310345,0.7083333333333334,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.42857142857142855,0.5714285714285714
hard_sweep,llama-3.1-8b,Llama 3.1-8B,,0.5,0.1,0.1724137931034483,0.017241379310344827,0.5,0.0,0.7142857142857143,0.2857142857142857,0.2,0.8
hard_sweep,deepseek-r1,DeepSeek-R1,,0.5,0.15,0.6206896551724138,0.15517241379310345,0.7777777777777778,0.6666666666666666,0.6,0.4,0.2727272727272727,0.7272727272727273
hard_sweep,kimi-k2.5,Kimi K2.5,,0.5,0.15,0.7413793103448276,0.1724137931034483,0.6744186046511628,0.8,0.6615384615384615,0.3384615384615385,0.3125,0.6875
hard_sweep,qwen3-next-80b-instruct,Qwen3-Next-80B-A3B-Instruct,,0.5,0.15,0.39655172413793105,0.034482758620689655,0.7391304347826086,0.0,0.5348837209302325,0.46511627906976744,0.09090909090909091,0.9090909090909091
hard_sweep,mistral-small-24b,Mistral-Small-24B,,0.5,0.15,0.43103448275862066,0.034482758620689655,0.72,0.5,0.625,0.375,0.11764705882352941,0.8823529411764706
hard_sweep,gemma-4-31b-it,Gemma 4 31B,,0.5,0.15,0.41379310344827586,0.15517241379310345,0.7083333333333334,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.42857142857142855,0.5714285714285714
hard_sweep,llama-3.1-8b,Llama 3.1-8B,,0.5,0.15,0.1724137931034483,0.017241379310344827,0.5,0.0,0.7142857142857143,0.2857142857142857,0.2,0.8
hard_sweep,deepseek-r1,DeepSeek-R1,,0.6,0.05,0.6206896551724138,0.08620689655172414,0.7777777777777778,0.6,0.6,0.4,0.1724137931034483,0.8275862068965517
hard_sweep,kimi-k2.5,Kimi K2.5,,0.6,0.05,0.7413793103448276,0.05172413793103448,0.6744186046511628,0.3333333333333333,0.6615384615384615,0.3384615384615385,0.12,0.88
hard_sweep,qwen3-next-80b-instruct,Qwen3-Next-80B-A3B-Instruct,,0.6,0.05,0.39655172413793105,0.017241379310344827,0.7391304347826086,0.0,0.5348837209302325,0.46511627906976744,0.047619047619047616,0.9523809523809523
hard_sweep,mistral-small-24b,Mistral-Small-24B,,0.6,0.05,0.43103448275862066,0.017241379310344827,0.72,0.0,0.625,0.375,0.0625,0.9375
hard_sweep,gemma-4-31b-it,Gemma 4 31B,,0.6,0.05,0.41379310344827586,0.06896551724137931,0.7083333333333334,0.25,0.6666666666666666,0.3333333333333333,0.25,0.75
hard_sweep,llama-3.1-8b,Llama 3.1-8B,,0.6,0.05,0.1724137931034483,0.0,0.5,0.0,0.7142857142857143,0.2857142857142857,0.0,1.0
hard_sweep,deepseek-r1,DeepSeek-R1,,0.6,0.1,0.6206896551724138,0.08620689655172414,0.7777777777777778,0.6,0.6,0.4,0.1724137931034483,0.8275862068965517
hard_sweep,kimi-k2.5,Kimi K2.5,,0.6,0.1,0.7413793103448276,0.05172413793103448,0.6744186046511628,0.3333333333333333,0.6615384615384615,0.3384615384615385,0.12,0.88
hard_sweep,qwen3-next-80b-instruct,Qwen3-Next-80B-A3B-Instruct,,0.6,0.1,0.39655172413793105,0.017241379310344827,0.7391304347826086,0.0,0.5348837209302325,0.46511627906976744,0.047619047619047616,0.9523809523809523
hard_sweep,mistral-small-24b,Mistral-Small-24B,,0.6,0.1,0.43103448275862066,0.017241379310344827,0.72,0.0,0.625,0.375,0.0625,0.9375
hard_sweep,gemma-4-31b-it,Gemma 4 31B,,0.6,0.1,0.41379310344827586,0.06896551724137931,0.7083333333333334,0.25,0.6666666666666666,0.3333333333333333,0.25,0.75
hard_sweep,llama-3.1-8b,Llama 3.1-8B,,0.6,0.1,0.1724137931034483,0.0,0.5,0.0,0.7142857142857143,0.2857142857142857,0.0,1.0
hard_sweep,deepseek-r1,DeepSeek-R1,,0.6,0.15,0.6206896551724138,0.08620689655172414,0.7777777777777778,0.6,0.6,0.4,0.1724137931034483,0.8275862068965517
hard_sweep,kimi-k2.5,Kimi K2.5,,0.6,0.15,0.7413793103448276,0.05172413793103448,0.6744186046511628,0.3333333333333333,0.6615384615384615,0.3384615384615385,0.12,0.88
hard_sweep,qwen3-next-80b-instruct,Qwen3-Next-80B-A3B-Instruct,,0.6,0.15,0.39655172413793105,0.017241379310344827,0.7391304347826086,0.0,0.5348837209302325,0.46511627906976744,0.047619047619047616,0.9523809523809523
hard_sweep,mistral-small-24b,Mistral-Small-24B,,0.6,0.15,0.43103448275862066,0.017241379310344827,0.72,0.0,0.625,0.375,0.0625,0.9375
hard_sweep,gemma-4-31b-it,Gemma 4 31B,,0.6,0.15,0.41379310344827586,0.06896551724137931,0.7083333333333334,0.25,0.6666666666666666,0.3333333333333333,0.25,0.75
hard_sweep,llama-3.1-8b,Llama 3.1-8B,,0.6,0.15,0.1724137931034483,0.0,0.5,0.0,0.7142857142857143,0.2857142857142857,0.0,1.0
