model,model_label,run_count,n_subsamples,mean_causal_jsd_median,mean_causal_jsd_q10,mean_causal_jsd_q90,mean_null_jsd_median,snr_median,detection_power_median
qwen3-next-80b-instruct,Qwen3-Next-80B-A3B-Instruct,14,50,0.10396056123250058,0.10262197553778406,0.10562972460121102,0.05703553286070208,1.8237752898806676,0.14345991561181434
qwen3-next-80b-instruct,Qwen3-Next-80B-A3B-Instruct,15,1,0.10307350503776752,0.10307350503776752,0.10307350503776752,0.05505897259710873,1.8720564546673024,0.15611814345991562
mistral-small-24b,Mistral-Small-24B,1,50,0.2875501394677686,0.24011285668388824,0.3384380588863047,0.2166084932174967,1.3308191342461761,0.0
mistral-small-24b,Mistral-Small-24B,2,50,0.22692404231434743,0.20161668582151288,0.25017946851869843,0.16412350323702374,1.361739345373202,0.0
mistral-small-24b,Mistral-Small-24B,3,50,0.19427663544559795,0.17808241867362443,0.21112084923230245,0.14412335997472964,1.3531154124469849,0.12606837606837606
mistral-small-24b,Mistral-Small-24B,4,50,0.17307870316968765,0.15980522361134572,0.1908394972999797,0.12060740007444534,1.4353918495715554,0.12875536480686695
mistral-small-24b,Mistral-Small-24B,5,50,0.15895305945194138,0.14880286872908424,0.1678060177355344,0.10888811947867863,1.4355451054243185,0.13404255319148936
mistral-small-24b,Mistral-Small-24B,6,50,0.14950899876785595,0.14275891209763425,0.1603329190794035,0.10204488619768665,1.4715787260256632,0.12340425531914893
mistral-small-24b,Mistral-Small-24B,7,50,0.14413406832431375,0.13560276116454942,0.15034097287203663,0.09631125692630085,1.508178477680334,0.13191489361702127
mistral-small-24b,Mistral-Small-24B,8,50,0.13790303315296648,0.13261004919922534,0.14890829351672805,0.08855058914688005,1.5410001541806178,0.125531914893617
mistral-small-24b,Mistral-Small-24B,9,50,0.13310849134223318,0.12801204100904578,0.13804981399344612,0.08450746258279622,1.594306820263169,0.13800036062026685
mistral-small-24b,Mistral-Small-24B,10,50,0.12813242821517193,0.12425147132004914,0.13214465458236954,0.08181443105580419,1.5679386035885314,0.14012802019473494
mistral-small-24b,Mistral-Small-24B,11,50,0.12531925670055782,0.12199096232776466,0.1302691384597861,0.07988080855711022,1.5847254808083,0.14012802019473494
mistral-small-24b,Mistral-Small-24B,12,50,0.12180118701310441,0.11875423169222679,0.12505118716950486,0.0770645207325896,1.5812083801193546,0.13559322033898305
mistral-small-24b,Mistral-Small-24B,13,50,0.12077786626533846,0.11814066100750081,0.1231679965464371,0.07370828080203572,1.6457219124554792,0.13983050847457626
mistral-small-24b,Mistral-Small-24B,14,50,0.11734866550572066,0.11607401815810517,0.11940959988978103,0.07153083497367127,1.6393300809016695,0.1271186440677966
mistral-small-24b,Mistral-Small-24B,15,1,0.11574388163219144,0.11574388163219144,0.11574388163219144,0.0696423532944892,1.6619754525347186,0.13135593220338984
gemma-4-31b-it,Gemma 4 31B,1,50,0.27984202850459206,0.23640505255644104,0.33841891646215966,0.19206884714717903,1.3625776397515528,0.0
gemma-4-31b-it,Gemma 4 31B,2,50,0.21530027613549158,0.18667346941521917,0.25182658791697143,0.15055684330177005,1.4604719328186324,0.0
gemma-4-31b-it,Gemma 4 31B,3,50,0.19514107470798242,0.16423030080286471,0.22391535928020612,0.12381053419566176,1.5652262310542948,0.10502622377622378
gemma-4-31b-it,Gemma 4 31B,4,50,0.17759825665775986,0.1608871674326939,0.19710187378820174,0.10680845114769111,1.6768598210969672,0.13819657744624836
gemma-4-31b-it,Gemma 4 31B,5,50,0.16477157234047055,0.1530837901090012,0.18072670797995324,0.10006782359588431,1.7088290976667433,0.14666956384323643
gemma-4-31b-it,Gemma 4 31B,6,50,0.15522710028000886,0.13699759773393358,0.16965309078093796,0.09517291385471739,1.5962912394150586,0.12641147935265581
gemma-4-31b-it,Gemma 4 31B,7,50,0.14763373147359374,0.13597208706597685,0.16695320018424775,0.08741798744069108,1.6750862325894191,0.1419131529263688
gemma-4-31b-it,Gemma 4 31B,8,50,0.14145113282556548,0.13161887279019593,0.15761524881911956,0.08338308500193051,1.7283567511293425,0.14035087719298245
gemma-4-31b-it,Gemma 4 31B,9,50,0.13709407256538353,0.12825586409163925,0.14753680021819984,0.08141643550502536,1.697774329607396,0.13187386482204275
gemma-4-31b-it,Gemma 4 31B,10,50,0.1348986550993621,0.12325745080313273,0.14424620474053085,0.07667812341193139,1.7915781755508224,0.13665110676102998
gemma-4-31b-it,Gemma 4 31B,11,50,0.1293112592563107,0.11988491140065229,0.14046206520497587,0.07521207193383676,1.754629401832788,0.13202578855632813
gemma-4-31b-it,Gemma 4 31B,12,50,0.12881810672145655,0.12264285284114718,0.1373563241063908,0.07271584909158257,1.7901821424821598,0.14132827115659735
gemma-4-31b-it,Gemma 4 31B,13,50,0.12427938933018813,0.11984967157987218,0.1298286079848296,0.07078778856156188,1.7521164754056064,0.13478260869565217
gemma-4-31b-it,Gemma 4 31B,14,50,0.1236271456645252,0.11996223932634822,0.1252688243144124,0.06941471802050292,1.7614155238404856,0.1336231722497817
gemma-4-31b-it,Gemma 4 31B,15,1,0.12106758908264507,0.12106758908264507,0.12106758908264507,0.06740126440771638,1.7962213342215099,0.11965811965811966
llama-3.1-8b,Llama 3.1-8B,1,50,0.12996509593049807,0.11552452971599828,0.15603972585187587,0.1881399483946257,0.7901187588766618,0.0
llama-3.1-8b,Llama 3.1-8B,2,50,0.11243469862234345,0.08965935954315225,0.12923846798148214,0.13272056060805387,0.8561591365591679,0.03672806067172264
llama-3.1-8b,Llama 3.1-8B,3,50,0.09286806507379236,0.08039525272765345,0.11225801845138567,0.10388079664219457,0.8887608402447729,0.05406392694063927
llama-3.1-8b,Llama 3.1-8B,4,50,0.08760935020095251,0.07746107079421702,0.10668155559552289,0.09428160478106748,0.9593235930982358,0.06114003470831665
llama-3.1-8b,Llama 3.1-8B,5,50,0.07913349941678346,0.06688287915740355,0.09687540964138178,0.08653137022792137,0.9387635129496696,0.05919191919191919
llama-3.1-8b,Llama 3.1-8B,6,50,0.07593487181538706,0.06250289919368485,0.09322152136300184,0.08665033312747064,0.9004079884012322,0.0544617429276628
llama-3.1-8b,Llama 3.1-8B,7,50,0.07581178556171429,0.06030307524531896,0.0926506797092937,0.08114870904432211,0.9365379335633192,0.05818913722662821
llama-3.1-8b,Llama 3.1-8B,8,50,0.07268181072977051,0.05695418622592226,0.0877582449294292,0.07600696559810677,0.9487554559725293,0.06894821916281144
llama-3.1-8b,Llama 3.1-8B,9,50,0.06779556644843054,0.060180866918040005,0.08477465033491517,0.07415867900489354,0.9116289007294949,0.0646563736692492
llama-3.1-8b,Llama 3.1-8B,10,50,0.06556926307286626,0.057768643613315365,0.07427213629729383,0.07148775852236317,0.9204135042512448,0.07543103448275862
llama-3.1-8b,Llama 3.1-8B,11,50,0.06613571201556853,0.05658700286320637,0.0709176330628478,0.07575893882602217,0.8914799085691048,0.04849202804264657
llama-3.1-8b,Llama 3.1-8B,12,50,0.06384480740713641,0.05478286482466088,0.06794913659957451,0.07107451508242935,0.8648258904778355,0.062231759656652355
llama-3.1-8b,Llama 3.1-8B,13,50,0.06178582305974701,0.058326070420405295,0.06724690403689489,0.07356170544577964,0.8569772726177726,0.02795249371022643
llama-3.1-8b,Llama 3.1-8B,14,50,0.05980896685529126,0.05838136792363504,0.06472655361577943,0.0750389989894792,0.8116820120258512,0.02575107296137339
llama-3.1-8b,Llama 3.1-8B,15,1,0.059319461956589416,0.059319461956589416,0.059319461956589416,0.07413979032985854,0.8001029095532728,0.02575107296137339
